ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
0470907576,"Handbook of Clinical Psychopharmacology for Psychologists",Hardcover,"Muse, Mark",1," ",9.17,1.18,7.01,7.01,Wiley,english,english,english,90.00,USD,Wiley,498,1.70,10.10,7.10,2.38,Book,ABIS_BOOK,2012-04-24,Wiley,http://ecx.images-amazon.com/images/I/41fwn5o1d3L._SL75_.jpg,Wiley,594932
0470907630,"Introductory Statistics (Custom For University of Massachusetts-Amherst",Paperback," ","Custom 7th",Mann," "," "," "," ","Wiley Custom Learning Solution",english," "," "," "," ","Wiley Custom Learning Solution"," ",1.20,10.80,8.30,3.20,Book,BOOKS_1973_AND_LATER,2011-01-01,"Wiley Custom Learning Solution",http://ecx.images-amazon.com/images/I/51z7D-uIGFL._SL75_.jpg,"Wiley Custom Learning Solution",550932
0470907665,"Exam 77-881 Microsoft Word 2010",Paperback," ",1,"Microsoft Official Academic Course",0.70,10.70,8.50,8.50,Wiley,english,english,english," "," ",Wiley,432,0.60,10.80,8.20,1.70,Book,ABIS_BOOK,2011-09-21,Wiley,http://ecx.images-amazon.com/images/I/51VG4hkEChL._SL75_.jpg,Wiley,581055
0470907673,"Excel 2010 (Microsoft Official Academic Course)",Spiral-bound," ",1,"Microsoft Official Academic Course",10.63,0.59,8.58,8.58,Wiley,english,english,english," "," ",Wiley,456,0.80,11.20,8.50,2.15,Book,ABIS_BOOK,2011-09-06,Wiley,http://ecx.images-amazon.com/images/I/51Zd5ogTmUL._SL75_.jpg,Wiley,351947
0470907681,"77-885 Microsoft Access 2010 with Microsoft Office 2010 Evaluation Software (Microsoft Official Academic Course)",Paperback," ",1,"Microsoft Official Academic Course",11.50,0.00,9.02,9.02,Wiley,english,english,english," "," ",Wiley,464,1.50,10.80,8.20,1.95,Book,ABIS_BOOK,2011-11-01,Wiley,http://ecx.images-amazon.com/images/I/51xig9HaovL._SL75_.jpg,Wiley,1277698
047090769X,"Leading Out Loud: A Guide for Engaging Others in Creating the Future (J-B US non-Franchise Leadership)",Hardcover," ",3,"Pearce, Terry",1.00,9.10,6.10,6.10,Jossey-Bass,english,english,english,34.95,USD,Jossey-Bass,272,1.18,9.29,6.42,1.01,Book,ABIS_BOOK,2013-02-11,Jossey-Bass,http://ecx.images-amazon.com/images/I/51rEARdmbhL._SL75_.jpg,Jossey-Bass,403484
0470907703,"Rethinking College Student Retention",Hardcover," ",1,"Braxton, John M.",0.00,0.00,0.00,0.00,Jossey-Bass,english,english,english,45.00,USD,Jossey-Bass,320,1.10,9.10,6.20,1.10,Book,ABIS_BOOK,2013-11-18,Jossey-Bass,http://ecx.images-amazon.com/images/I/41bTJbfJsUL._SL75_.jpg,Jossey-Bass,67737
047090772X,"The Mentor's Guide: Facilitating Effective Learning Relationships",Paperback," ",2,"Zachary, Lois J.",10.51,1.06,8.27,8.27,Jossey-Bass,english,english,english,36.00,USD,Jossey-Bass,288,0.80,10.90,8.50,1.90,Book,ABIS_BOOK,2011-10-25,Jossey-Bass,http://ecx.images-amazon.com/images/I/51u6xmFiuYL._SL75_.jpg,Jossey-Bass,48894
0470907738,"Beyond Forgiveness: Reflections on Atonement",Paperback,"Cousineau, Phil",1," ",9.25,0.72,5.98,5.98,Jossey-Bass,english,english,english,19.95,USD,Jossey-Bass,272,0.90,8.80,5.90,0.75,Book,ABIS_BOOK,2011-01-25,Jossey-Bass,http://ecx.images-amazon.com/images/I/51djG0a5wjL._SL75_.jpg,Jossey-Bass,410945
0470907754,"Falling Upward: A Spirituality for the Two Halves of Life",Hardcover," ",1,"Rohr, Richard",7.32,0.89,5.39,5.39,Jossey-Bass,english,english,english,19.95,USD,Jossey-Bass,240,1.00,7.10,5.10,0.60,Book,ABIS_BOOK,2011-04-19,Jossey-Bass,http://ecx.images-amazon.com/images/I/51AUTIKCMWL._SL75_.jpg,Jossey-Bass,870
