ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
0802865526,"Practice Resurrection Study Guide",Paperback," ",Stg,"Peterson, Eugene H.",0.23,9.06,6.04,6.04,"Wm. B. Eerdmans Publishing Company",english,english,english,6.00,USD,"Wm. B. Eerdmans Publishing Company",64,0.30,8.70,5.90,0.10,Book,ABIS_BOOK,2010-05-15,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/51bLZyvbhgL._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",275575
0802865534,"Introduction to the Synoptic Gospels",Paperback," "," ","Perkins, Pheme",8.74,0.00,5.75,5.75,"Wm. B. Eerdmans Publishing Company",english,english,english,25.00,USD,"Wm. B. Eerdmans Publishing Company",336,1.00,8.80,6.00,0.50,Book,ABIS_BOOK,2009-11-13,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/51Joj2qlp5L._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",302941
0802865585,"Stone and Dung, Oil and Spit: Jewish Daily Life in the Time of Jesus",Paperback," ",0,"Magness, Jodi",9.02,0.95,5.98,5.98,"Wm. B. Eerdmans Publishing Company",english,english,english,25.00,USD,"Wm. B. Eerdmans Publishing Company",375,1.00,8.90,6.00,1.35,Book,ABIS_BOOK,2011-04-12,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/51Jzq5oePmL._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",417439
0802865607,"An Outline of New Testament Spirituality",Paperback," "," ","Grech, Prosper",8.27,0.41,5.24,5.24,"Wm. B. Eerdmans Publishing Company",english,english,english,18.00,USD,"Wm. B. Eerdmans Publishing Company",150,0.60,8.40,5.50,0.30,Book,ABIS_BOOK,2011-03-09,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/51BqkF0V-AL._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",1877875
0802865615,"Hearing the Old Testament: Listening for God's Address",Paperback,"Bartholomew, Craig G.",0," ",8.78,1.18,5.83,5.83,"Wm. B. Eerdmans Publishing Company",english,english,english,32.00,USD,"Wm. B. Eerdmans Publishing Company",493,1.20,8.90,6.10,1.50,Book,ABIS_BOOK,2012-05-02,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/51VKECFEMFL._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",975915
0802865631,"Ministers of the Law: A Natural Law Theory of Legal Authority (Emory University Studies in Law and Religion)",Paperback," "," ","Porter, Jean",8.76,0.98,5.91,5.91,"Wm. B. Eerdmans Publishing Company",english,english,english,30.00,USD,"Wm. B. Eerdmans Publishing Company",400,1.00,8.90,5.90,1.15,Book,ABIS_BOOK,2010-10-22,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/31sf3gGnJEL._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",1135536
0802865658,"Being Good: Christian Virtues for Everyday Life",Paperback,"Austin, Michael W."," "," ",8.74,0.79,5.98,5.98,"Wm. B. Eerdmans Publishing Company",english,english,english,26.00,USD,"Wm. B. Eerdmans Publishing Company",292,0.80,8.90,6.40,0.97,Book,ABIS_BOOK,2011-12-20,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/51zARndhLtL._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",505811
0802865690,"Demanding Our Attention: The Hebrew Bible as a Source for Christian Ethics",Paperback," "," ","Amdt, Emily",5.75,0.57,8.74,8.74,"Wm. B. Eerdmans Publishing Company",english,english,english,30.00,USD,"Wm. B. Eerdmans Publishing Company",213,0.70,8.90,5.90,0.40,Book,ABIS_BOOK,2011-03-09,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/41hoVKGIkhL._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",1227941
0802865755,"Finding God: A Treasury of Conversion Stories",Paperback,"Mulder, John M.",0," ",1.20,8.90,6.00,6.00,"Wm. B. Eerdmans Publishing Company",english,english,english,22.00,USD,"Wm. B. Eerdmans Publishing Company",418,1.20,8.90,6.00,1.20,Book,ABIS_BOOK,2012-08-13,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/51ngA7qB3gL._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",299247
080286581X,"Bearing True Witness: Truthfulness in Christian Practice (Eerdmans Ekklesia)",Paperback," "," ","Hovey, Craig",8.74,0.69,5.75,5.75,"Wm. B. Eerdmans Publishing Company",english,english,english,27.00,USD,"Wm. B. Eerdmans Publishing Company",264,0.90,8.90,5.90,0.85,Book,ABIS_BOOK,2011-07-01,"Wm. B. Eerdmans Publishing Company",http://ecx.images-amazon.com/images/I/41L5a1WgVpL._SL75_.jpg,"Wm. B. Eerdmans Publishing Company",2705127
