ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
1491707496,"Enter Ye in at the Strait Gate",Paperback," "," ","Kelsch, Louis A.",8.39,0.28,5.43,5.43,iUniverse,english,english,english,13.95,USD,iUniverse,132,0.50,8.40,5.50,0.45,Book,ABIS_BOOK,2013-10-08,iUniverse,http://ecx.images-amazon.com/images/I/41zKZA3-VeL._SL75_.jpg,iUniverse,3255737
149170750X,"Enter Ye in at the Strait Gate: The Fate of Mankind Foretold",Hardcover," "," ","Kelsch, Louis a.",8.39,0.43,5.43,5.43,iUniverse.com,english,english,english,23.95,USD,iUniverse.com,132,0.44,8.50,5.51,0.67,Book,ABIS_BOOK,2013-10-07,iUniverse.com,http://ecx.images-amazon.com/images/I/511NjHhvQkL._SL75_.jpg,iUniverse.com,840799
1491707534,"Kingdom, Freedom and Wisdom: Three Mysterious Forces and Treasures of the Trinity",Hardcover," "," ","Okonkwo, Chimezie",8.39,0.43,5.43,5.43,iUniverse.com,english,english,english,22.95,USD,iUniverse.com,112,0.55,8.58,5.75,0.62,Book,ABIS_BOOK,2013-11-06,iUniverse.com,http://ecx.images-amazon.com/images/I/51nfBnaF56L._SL75_.jpg,iUniverse.com," "
1491707542,"Kingdom, Freedom and Wisdom: Three Mysterious Forces and Treasures of the Trinity",Paperback," "," ","Okonkwo, Chimezie",8.39,0.28,5.43,5.43,iUniverse,english,english,english,12.95,USD,iUniverse,112,0.29,8.50,5.50,0.44,Book,ABIS_BOOK,2013-11-08,iUniverse,http://ecx.images-amazon.com/images/I/51jlHfidOZL._SL75_.jpg,iUniverse," "
1491707577,"Haunted Hallways: 16 Sinister Stories",Paperback," "," ","Lost, Lenore",8.39,0.55,5.43,5.43,iUniverse,english,english,english,15.95,USD,iUniverse,238,0.60,8.50,5.50,0.82,Book,ABIS_BOOK,2013-10-23,iUniverse,http://ecx.images-amazon.com/images/I/417PLD6voCL._SL75_.jpg,iUniverse,2663254
1491707593,"Haunted Hallways: 16 Sinister Stories",Hardcover," "," ","Lost, Lenore",8.39,0.67,5.43,5.43,iUniverse.com,english,english,english,25.95,USD,iUniverse.com,238,0.69,8.50,5.51,0.97,Book,ABIS_BOOK,2013-10-23,iUniverse.com,http://ecx.images-amazon.com/images/I/51O6XnkK1PL._SL75_.jpg,iUniverse.com,3954998
1491707607,"Chief Justice Profiles: Our Hidden Leaders",Paperback," "," ","Secor, Philip",8.86,0.28,5.91,5.91,iUniverse,english,english,english,13.95,USD,iUniverse,124,0.28,9.00,6.00,0.53,Book,ABIS_BOOK,2013-09-11,iUniverse,http://ecx.images-amazon.com/images/I/41Zq-4R7V6L._SL75_.jpg,iUniverse,6840759
1491707666,"Missing Murray",Paperback," "," ","Goldblum, Maxine A",8.86,0.43,5.91,5.91,iUniverse,english,english,english,16.95,USD,iUniverse,184,0.46,9.00,6.00,0.74,Book,ABIS_BOOK,2013-10-22,iUniverse,http://ecx.images-amazon.com/images/I/51Q26MJMMfL._SL75_.jpg,iUniverse,1598874
1491707801,"Beautiful Sprinkled, Speckled, Spackled Snails: . . . My Journey from There to Here.",Paperback," "," ","Wolfe Jr., Stephen",0.39,9.02,5.98,5.98,iUniverse,english,english,english,14.95,USD,iUniverse,182,0.50,8.90,6.00,0.50,Book,ABIS_BOOK,2013-12-02,iUniverse,http://ecx.images-amazon.com/images/I/31iBjacqK6L._SL75_.jpg,iUniverse,2183800
1491707828,"From the Mouths of Babes Volume III (Volume 3)",Paperback," "," ","Shea, Mickie",8.86,0.63,5.91,5.91,iUniverse,english,english,english,20.95,USD,iUniverse,276,0.69,9.00,6.00,1.06,Book,ABIS_BOOK,2013-11-01,iUniverse,http://ecx.images-amazon.com/images/I/41x-xeG1EJL._SL75_.jpg,iUniverse," "
