ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
1491832894,"The Life of Frederick Froebel: Founder of Kindergarten by Denton Jacques Snider (1900): Edited and Annotated with Illustrations by J (Johannes) ... & Baroness Bertha Marie von Marenholtz-Buelow",Paperback," "," ","Froebel-Parker, J. (Johannes)",8.86,0.71,5.91,5.91,AuthorHouse,english,english,english,19.95,USD,AuthorHouse,326,0.82,9.00,6.00,1.23,Book,ABIS_BOOK,2013-11-15,AuthorHouse,http://ecx.images-amazon.com/images/I/51tdVRgxh7L._SL75_.jpg,AuthorHouse,3367915
1491833084,"A Knight in the Ville: The December Dark",Paperback," "," ","Winters, Steven E.",7.87,0.20,4.92,4.92,AuthorHouse,english,english,english,13.95,USD,AuthorHouse,88,0.30,7.80,4.90,0.25,Book,ABIS_BOOK,2013-11-12,AuthorHouse,http://ecx.images-amazon.com/images/I/51vdn9ed5%2BL._SL75_.jpg,AuthorHouse,1169099
1491833270,"DRIVING IS JUST LIKE WATCHING TELEVISION",Paperback," "," ","Alexander Jr., Fred H.",0.07,11.02,8.50,8.50,AuthorHouse,english,english,english,20.99,USD,AuthorHouse,36,0.07,11.02,8.50,0.24,Book,ABIS_BOOK,2013-12-10,AuthorHouse,http://ecx.images-amazon.com/images/I/41ttkVRWtxL._SL75_.jpg,AuthorHouse," "
1491833343,"Domino's Nose Knows",Paperback," "," ","Bird, Judy",8.39,0.08,8.39,8.39,AuthorHouse,english,english,english,17.99,USD,AuthorHouse,24,0.20,9.00,8.10,0.20,Book,ABIS_BOOK,2013-11-11,AuthorHouse,http://ecx.images-amazon.com/images/I/51R0TPgbAgL._SL75_.jpg,AuthorHouse,1308432
149183336X,"Why Ruin Another Life",Hardcover," "," ","Weathers, Anthony",8.90,0.43,5.91,5.91,AuthorHouse,english,english,english,23.99,USD,AuthorHouse,140,0.90,9.10,6.20,0.55,Book,ABIS_BOOK,2013-11-13,AuthorHouse,http://ecx.images-amazon.com/images/I/41ZF9JV3wRL._SL75_.jpg,AuthorHouse,6426719
1491833378,"Why Ruin Another Life",Paperback," "," ","Weathers, Anthony",8.90,0.31,5.91,5.91,AuthorHouse,english,english,english,14.95,USD,AuthorHouse,140,0.35,9.00,6.00,0.59,Book,ABIS_BOOK,2013-11-14,AuthorHouse,http://ecx.images-amazon.com/images/I/416%2Bp5xYXiL._SL75_.jpg,AuthorHouse,2273084
1491833416,"The Christmas Eve Conversation",Paperback," "," ","Hope, Carol Ann",8.39,0.08,8.39,8.39,AuthorHouse,english,english,english,17.99,USD,AuthorHouse,24,0.40,8.70,8.20,0.10,Book,ABIS_BOOK,2013-12-06,AuthorHouse,http://ecx.images-amazon.com/images/I/61puKnimKqL._SL75_.jpg,AuthorHouse,1512108
1491833424,"The Good Friday Cave",Hardcover," "," ","MANCUSO, SAMUEL J.",8.90,0.67,5.91,5.91,AuthorHouse,english,english,english,27.99,USD,AuthorHouse,228,0.69,9.02,5.98,1.09,Book,ABIS_BOOK,2013-12-03,AuthorHouse,http://ecx.images-amazon.com/images/I/51pDaLUyd4L._SL75_.jpg,AuthorHouse,572710
1491833432,"The Good Friday Cave",Paperback," "," ","Mancuso, Samuel J.",8.90,0.51,5.91,5.91,AuthorHouse,english,english,english,16.95,USD,AuthorHouse,228,0.57,9.00,6.00,0.79,Book,ABIS_BOOK,2013-12-03,AuthorHouse,http://ecx.images-amazon.com/images/I/51wY9aHdkgL._SL75_.jpg,AuthorHouse,757318
1491833459,"Casey Moe: The Angel Cat",Paperback," "," ","Pansier, Kathy",8.39,0.04,8.39,8.39,AuthorHouse,english,english,english,16.99,USD,AuthorHouse,20,0.20,9.00,8.30,0.15,Book,ABIS_BOOK,2013-11-22,AuthorHouse,http://ecx.images-amazon.com/images/I/51mwph%2BFPYL._SL75_.jpg,AuthorHouse,1924148
1491833491,"The Well Kept Secret",Paperback," "," ","Ausman, Ginette",10.87,0.08,8.39,8.39,AuthorHouse,english,english,english,20.99,USD,AuthorHouse,40,0.24,11.00,8.35,0.31,Book,ABIS_BOOK,2013-11-11,AuthorHouse,http://ecx.images-amazon.com/images/I/51dStNK4r%2BL._SL75_.jpg,AuthorHouse," "
1491833548,"My Life Personal Organizer",Hardcover," "," ","Allum, Tom",8.86,0.43,5.91,5.91,AuthorHouse,english,english,english,23.99,USD,AuthorHouse,138,0.44,9.02,5.98,0.80,Book,ABIS_BOOK,2013-10-31,AuthorHouse,http://ecx.images-amazon.com/images/I/51v0a-65MwL._SL75_.jpg,AuthorHouse," "
1491833556,"My Life Personal Organizer",Paperback," "," ","Allum, Tom",8.86,0.31,5.91,5.91,AuthorHouse,english,english,english,14.95,USD,AuthorHouse,138,0.47,8.98,5.98,0.13,Book,ABIS_BOOK,2013-11-01,AuthorHouse,http://ecx.images-amazon.com/images/I/51nJewADTyL._SL75_.jpg,AuthorHouse,1330269
1491833637,"My Bright Blue Glasses",Paperback," "," ","Davis, Cynthia L.",8.39,0.04,8.39,8.39,AuthorHouse,english,english,english,15.99,USD,AuthorHouse,16,0.50,8.00,8.00,0.15,Book,ABIS_BOOK,2013-11-11,AuthorHouse,http://ecx.images-amazon.com/images/I/51aw0t%2BjbWL._SL75_.jpg,AuthorHouse,334297
149183384X,"History, Heritage and Timeless Service 1955-2013: Alpha Kappa Alpha Sorority, Inc. Zeta Omicron Omega Chapter Mid-Atlantic Region",Hardcover," "," ","Zeta Omicron Omega Chapter",0.44,9.02,5.98,5.98,AuthorHouse,english,english,english,23.99,USD,AuthorHouse,112,0.44,9.02,5.98,0.72,Book,ABIS_BOOK,2014-01-08,AuthorHouse,http://ecx.images-amazon.com/images/I/51ozPqpeU3L._SL75_.jpg,AuthorHouse," "
1491833866,"History, Heritage and Timeless Service 1955-2013: Alpha Kappa Alpha Sorority, Inc. Zeta Omicron Omega Chapter Mid-Atlantic Region",Paperback," "," ","Zeta Omicron Omega Chapter, Zeta Omicron Omega Chapter",0.27,9.00,6.00,6.00,AuthorHouse,english,english,english,14.95,USD,AuthorHouse,112,0.29,9.00,6.00,0.49,Book,ABIS_BOOK,2014-01-03,AuthorHouse,http://ecx.images-amazon.com/images/I/51eNs7cU5uL._SL75_.jpg,AuthorHouse,1984481
1491833890,"The Socks Who Wanted to Be Shoes",Paperback," "," ","Tillman-Wilson, Patty Ann",10.83,0.08,8.39,8.39,AuthorHouse,english,english,english,20.99,USD,AuthorHouse,40,0.20,10.70,8.30,0.30,Book,ABIS_BOOK,2013-11-21,AuthorHouse,http://ecx.images-amazon.com/images/I/51OQHALu7PL._SL75_.jpg,AuthorHouse,2344932
1491833939,"My Long Journey to Me",Paperback," "," ","Clark, Carrie L.",8.90,0.24,5.91,5.91,AuthorHouse,english,english,english,13.95,USD,AuthorHouse,104,0.26,9.00,6.00,0.47,Book,ABIS_BOOK,2013-12-16,AuthorHouse,http://ecx.images-amazon.com/images/I/41lQ69vgYdL._SL75_.jpg,AuthorHouse,1432673
